EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260608_0000290,2026-06-08T13:33:14.0Z,5.44,125.11,29.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000288,2026-06-08T13:35:37.0Z,4.8,125.3,18.0,m,3.9,KEPULAUAN SANGIHE, INDONESIA
20260608_0000289,2026-06-08T13:37:57.99Z,5.0564,125.2476,46.1,mb,5.2,MINDANAO, PHILIPPINES
20260608_0000293,2026-06-08T13:42:43.0Z,5.3,125.15,10.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000292,2026-06-08T13:46:19.0Z,5.69,126.53,152.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000311,2026-06-08T13:53:10.0Z,4.74,125.09,34.0,m,3.9,KEPULAUAN SANGIHE, INDONESIA
20260608_0000312,2026-06-08T14:03:36.0Z,5.07,125.73,17.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000317,2026-06-08T14:13:32.0Z,5.42,125.61,3.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000314,2026-06-08T14:15:53.0Z,5.0,125.65,10.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000316,2026-06-08T14:22:05.0Z,4.86,125.33,59.0,m,4.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000325,2026-06-08T14:37:34.45Z,4.7364,125.3085,40.0,mb,4.9,KEPULAUAN SANGIHE, INDONESIA
20260608_0000326,2026-06-08T14:53:00.63Z,5.6847,124.9453,10.0,mb,5.3,MINDANAO, PHILIPPINES
20260608_0000329,2026-06-08T14:58:29.0Z,5.67,124.9,13.0,m,3.1,MINDANAO, PHILIPPINES
20260608_0000332,2026-06-08T15:09:10.0Z,5.5,124.86,10.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000333,2026-06-08T15:14:24.0Z,5.63,124.95,10.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000334,2026-06-08T15:19:46.0Z,5.6,125.44,10.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000336,2026-06-08T15:23:39.0Z,5.64,124.9,12.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000335,2026-06-08T15:26:53.0Z,5.21,125.11,3.0,m,3.4,MINDANAO, PHILIPPINES
20260608_0000342,2026-06-08T15:32:03.0Z,5.47,124.87,10.0,m,4.1,MINDANAO, PHILIPPINES
20260608_0000346,2026-06-08T15:49:22.0Z,5.7,125.19,27.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000350,2026-06-08T16:00:38.0Z,5.48,125.89,10.0,m,4.1,MINDANAO, PHILIPPINES
20260608_0000354,2026-06-08T16:03:42.0Z,5.46,126.07,10.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000356,2026-06-08T16:09:14.0Z,5.58,125.33,9.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000360,2026-06-08T16:16:35.0Z,4.65,125.6,14.0,m,4.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000361,2026-06-08T16:25:37.0Z,5.75,125.69,154.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000363,2026-06-08T16:47:03.0Z,3.07,127.0,30.0,m,3.5,KEPULAUAN TALAUD, INDONESIA
20260608_0000366,2026-06-08T16:59:39.0Z,5.32,125.28,10.0,m,4.1,MINDANAO, PHILIPPINES
20260608_0000379,2026-06-08T17:41:31.0Z,4.76,125.32,21.0,m,4.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000385,2026-06-08T17:45:37.0Z,5.24,125.41,40.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000384,2026-06-08T17:47:11.0Z,4.75,124.72,10.0,m,3.8,CELEBES SEA
20260608_0000398,2026-06-08T18:29:01.54Z,4.862,125.3602,60.8,mb,5.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000401,2026-06-08T18:32:19.0Z,5.44,125.13,5.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000406,2026-06-08T18:52:14.0Z,4.82,125.69,10.0,m,3.8,KEPULAUAN SANGIHE, INDONESIA
20260608_0000408,2026-06-08T18:58:39.0Z,4.89,125.45,10.0,m,4.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000415,2026-06-08T19:10:07.0Z,5.29,125.04,15.0,m,3.1,MINDANAO, PHILIPPINES
20260608_0000414,2026-06-08T19:18:44.0Z,4.47,125.2,11.0,m,4.4,KEPULAUAN SANGIHE, INDONESIA
